"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Avenida Joanna Zanaga Aboin Gomez";" Loteamento Residencial e Comercial Bairro Pacaembu";" Americana/SP";"13470-803";-22.716103;-47.374055
" Rua André Santarosa";" Loteamento Residencial e Comercial Bairro Pacaembu";" Americana/SP";"13470-814";-22.732109;-47.329574
" Rua Dois";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-311";-22.737151;-47.294885
" Rua Agostinho Comelato";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-570";-22.72596;-47.327245
" Rua Felippe Monteiro Helimeister";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-630";-22.757073;-47.34143
" Rua Achiles Zanaga Camargo Neves";" Loteamento Residencial Jardim Florbela";" Americana/SP";"13475-779";-22.73021;-47.342627
" Avenida Comendador Thomaz Fortunato";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-261";-22.724071;-47.285628
" Rua Antonieta Bertini Cordenonsi";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-278";-22.724071;-47.285628
" Rua José Sacilotto";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-266";-22.724071;-47.285628
" Rua Miguel Brancatti";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-268";-22.724071;-47.285628
" Rua Professora Isa Pires Eustachio Kfoury";" Loteamento Residencial Jardim Villagio II";" Americana/SP";"13475-306";-22.724071;-47.285628
" Praça Virgínia Mietto Fae";" Nova Americana";" Americana/SP";"13466-139";-22.755062;-47.321724
" Rua Particular";" Paraíso";" Americana/SP";"13465-712";-22.725018;-47.272929
" Rua Antônio Pazzin";" Parque Dom Pedro II";" Americana/SP";"13476-619";-22.745838;-47.242201
" Avenida Brasil";" Parque Ideal";" Americana/SP";"13465-159";-22.742861;-47.333713
" Praça Pico da Bandeira";" Parque Liberdade";" Americana/SP";"13470-439";-22.71703;-47.365481
" Praça Manoel Rodrigues Nogueira";" Parque Novo Mundo";" Americana/SP";"13467-469";-22.757188;-47.35984
" Rua Romano Pavan";" Parque Novo Mundo";" Americana/SP";"13467-549";-22.756033;-47.35914
" Praça Rubens Augusto Guelli";" Parque Residencial Tancredi";" Americana/SP";"13475-746";-22.725914;-47.309698
" Rua Maria de Lourdes Dian Luchesi";" Parque Residencial Tancredi";" Americana/SP";"13475-742";-22.73372;-47.343517
" Rua Monte Mor";" Parque Universitário";" Americana/SP";"13467-714";-22.731955;-47.397163
" Rua Professor Armindo Chinelatto";" Parque Universitário";" Americana/SP";"13467-712";-22.695407;-47.38342
" Rua Professora Aparecida Paioli";" Parque Universitário";" Americana/SP";"13467-668";-22.776648;-47.357107
" Rua B-D";" Portal dos Nobres";" Americana/SP";"13479-764";-22.749244;-47.318073
" Rua Maranhão";" Praia Azul";" Americana/SP";"13475-801";-22.744349;-47.249161
" Rua Cinco";" Praia dos Namorados";" Americana/SP";"13475-464";-22.72397;-47.283568
" Rua Quatro";" Praia dos Namorados";" Americana/SP";"13475-465";-22.724241;-47.283963
" Avenida Comendador Thomaz Fortunato";" Recanto Jatobá";" Americana/SP";"13475-406";-22.718411;-47.283847
" Avenida Giné Faraone Zanaga";" Residencial Jardim Barra do Cisne I";" Americana/SP";"13475-820";-22.734498;-47.246703
" Rua Um";" Residencial Santa Paula";" Americana/SP";"13475-752";-22.730745;-47.255716
" Avenida Oswaldo Jensen";" Riviera Tamborlim";" Americana/SP";"13475-216";-22.721556;-47.289367
