"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Avenida Suzimara de Lourdes Bazanelli";" Vila Conquista";" Americana/SP";"13474-020";-22.71573;-47.290116
" Rua Otimismo";" Jardim Boer II";" Americana/SP";"13477-734";-22.742705;-47.290179
" Rua Prosperidade";" Jardim Boer I";" Americana/SP";"13477-670";-22.740324;-47.290238
" Rua dos Caquizeiros";" Residencial Vale das Nogueiras";" Americana/SP";"13474-373";-22.707513;-47.290243
" Rua Joaquim Duarte";" Residencial Vale das Nogueiras";" Americana/SP";"13474-371";-22.708476;-47.290311
" Rua da Mangueira";" Jardim Guanabara";" Americana/SP";"13471-330";-22.709174;-47.290312
" Rua Antônio Nardo";" Jardim Brasil";" Americana/SP";"13474-210";-22.710581;-47.29032
" Rua Otimismo";" Jardim Boer I";" Americana/SP";"13477-680";-22.741727;-47.290533
" Rua Luiz Santon";" Jardim Brasil";" Americana/SP";"13474-213";-22.711048;-47.290622
" Rua Virtude";" Jardim Boer I";" Americana/SP";"13477-710";-22.738796;-47.290723
" Rua Antônio Camargo Neves";" Residencial Praia dos Namorados";" Americana/SP";"13474-220";-22.713477;-47.290729
" Rua dos Abacateiros";" Residencial Vale das Nogueiras";" Americana/SP";"13474-372";-22.708174;-47.290756
" Rua Verdade";" Jardim Boer I";" Americana/SP";"13477-712";-22.739815;-47.290842
" Rua Caminho de Servidão";" Jardim Brasil";" Americana/SP";"13474-061";-22.71565;-47.290978
" Rua Eugênio Liner";" Residencial Praia dos Namorados";" Americana/SP";"13474-222";-22.714733;-47.290992
" Rua Olindo Tomazzi";" Jardim Brasil";" Americana/SP";"13474-212";-22.711185;-47.291065
" Rua Comunidade";" Jardim Boer I";" Americana/SP";"13477-672";-22.740193;-47.291097
" Rua José Berni";" Vila Bela";" Americana/SP";"13474-711";-22.699345;-47.291151
" Rua Professora Edwiges Tommasi";" Loteamento Residencial Jardim Villagio II";" Americana/SP";"13475-298";-22.725412;-47.291206
" Rua Adalberto Panzam";" Chácara Letônia";" Americana/SP";"13475-005";-22.729492;-47.291239
" Rua Cinco";" Fazenda Santa Lúcia";" Americana/SP";"13476-200";-22.723969;-47.291293
" Rua Juvenal Galeno";" Antônio Zanaga II";" Americana/SP";"13474-431";-22.701851;-47.291298
" Rua Rodrigues de Abreu";" Antônio Zanaga II";" Americana/SP";"13474-421";-22.70425;-47.291298
" Rua Hameletto Pigatto";" Residencial Vale das Nogueiras";" Americana/SP";"13474-365";-22.710248;-47.291299
" Rua Orozimbo Rocha";" Residencial Vale das Nogueiras";" Americana/SP";"13474-370";-22.708937;-47.291311
" Avenida Vitalino";" Antônio Zanaga II";" Americana/SP";"13474-420";-22.704669;-47.291423
" Rua Progresso";" Jardim Boer I";" Americana/SP";"13477-708";-22.738551;-47.291441
" Rua Romeu Gabbatore";" Loteamento Mantovani";" Americana/SP";"13475-250";-22.732781;-47.291522
" Rua Gelindo Cia";" Vila Bela";" Americana/SP";"13474-712";-22.699072;-47.29153
" Rua Anair Aparecida Viel";" Jardim Boer II";" Americana/SP";"13477-744";-22.744194;-47.29156
" Rua Cordialidade";" Jardim Boer I";" Americana/SP";"13477-674";-22.740409;-47.291637
" Rua Ternura";" Jardim Boer I";" Americana/SP";"13477-706";-22.738018;-47.291642
" Rua Antonia Vello Porto";" Vila Conquista";" Americana/SP";"13474-026";-22.717529;-47.291696
" Rua Pedro Gentile";" Antônio Zanaga II";" Americana/SP";"13474-415";-22.704715;-47.291707
" Rua Ascenso Ferreira";" Antônio Zanaga II";" Americana/SP";"13474-432";-22.701588;-47.291747
" Rua Exito";" Jardim Boer I";" Americana/SP";"13477-682";-22.739692;-47.291754
" Rua Bom Recreio";" Jardim Boer II";" Americana/SP";"13477-736";-22.745378;-47.291765
" Rua José Lins do Rego";" Antônio Zanaga II";" Americana/SP";"13474-414";-22.704086;-47.291778
" Rua Maria de Lourdes Pigatto";" Vila Bela";" Americana/SP";"13474-713";-22.698816;-47.291917
" Rua Maria José Romano";" Vila Conquista";" Americana/SP";"13474-023";-22.717702;-47.292084
" Rua Sucesso";" Jardim Boer I";" Americana/SP";"13477-704";-22.737292;-47.2921
" Rua Onze";" Jardim Boer II";" Americana/SP";"13477-746";-22.744428;-47.292137
" Rua Dignidade";" Jardim Boer I";" Americana/SP";"13477-676";-22.740535;-47.292206
" Rua Fidelidade";" Jardim Boer I";" Americana/SP";"13477-686";-22.74005;-47.292295
" Rua Eduardo Milani";" Vila Bela";" Americana/SP";"13474-714";-22.698564;-47.292312
" Rua Valdomiro Silveira";" Antônio Zanaga II";" Americana/SP";"13474-410";-22.703951;-47.292326
" Rua Bom Recreio";" Jardim Boer I";" Americana/SP";"13477-720";-22.744428;-47.292356
" Rua Romário Fiorani";" Jardim Santa Eliza";" Americana/SP";"13474-051";-22.720822;-47.292452
" Rua João do Rio";" Antônio Zanaga II";" Americana/SP";"13474-412";-22.703053;-47.292455
" Rua Conquista";" Jardim Boer I";" Americana/SP";"13477-716";-22.742841;-47.292455
" Rua Admiração";" Jardim Boer I";" Americana/SP";"13477-694";-22.741473;-47.292463
" Rua Alceu Wamosy";" Antônio Zanaga II";" Americana/SP";"13474-423";-22.702252;-47.29252
" Rua Álvaro Moreira";" Antônio Zanaga II";" Americana/SP";"13474-413";-22.703452;-47.29252
" Rua das Mangabeiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-364";-22.708487;-47.292567
" Rua Fartura";" Jardim Boer I";" Americana/SP";"13477-684";-22.738227;-47.29266
" Rua Virgílio Giongo";" Vila Bela";" Americana/SP";"13474-715";-22.698313;-47.29271
" Rua Entusiasmo";" Jardim Boer I";" Americana/SP";"13477-678";-22.740712;-47.292791
" Rua Lima Barreto";" Antônio Zanaga II";" Americana/SP";"13474-411";-22.704133;-47.292837
" Rua Ignácio Pancini";" Residencial Vale das Nogueiras";" Americana/SP";"13474-362";-22.707674;-47.292898
" Rua Integridade";" Jardim Boer I";" Americana/SP";"13477-718";-22.742891;-47.293028
" Rua Alberto Seabra";" Antônio Zanaga II";" Americana/SP";"13474-402";-22.70604;-47.293036
" Rua das Tamareiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-366";-22.709848;-47.293068
" Rua Dante Rossi";" Jardim Brasil";" Americana/SP";"13474-211";-22.711019;-47.29307
" Rua João Rachcovski";" Vila Bela";" Americana/SP";"13474-720";-22.698074;-47.293106
" Rua Fortuna";" Jardim Boer I";" Americana/SP";"13477-688";-22.74084;-47.293131
" Estrada Luiz Renato Nascimento";" Jardim Mirandola";" Americana/SP";"13478-840";-22.749838;-47.293131
" Rua das Gravioleiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-363";-22.708451;-47.293131
" Rua Celestino Rodrigues";" Jardim Santa Eliza";" Americana/SP";"13474-053";-22.719399;-47.293253
" Rua Jaime Elias Vento";" Jardim Brasil";" Americana/SP";"13474-071";-22.717129;-47.293278
" Avenida Ângelo José Kokol";" Vila Bela";" Americana/SP";"13474-700";-22.69796;-47.293298
" Rua Angelo Beraldo";" Jardim Santa Eliza";" Americana/SP";"13474-054";-22.719306;-47.293334
" Rua Graça Aranha";" Antônio Zanaga II";" Americana/SP";"13474-401";-22.705831;-47.293426
" Rua Leopoldo Froes";" Antônio Zanaga I";" Americana/SP";"13474-651";-22.70151;-47.293443
" Rua Boa Ventura";" Jardim Boer I";" Americana/SP";"13477-698";-22.741697;-47.293489
" Rua Aura Celeste";" Antônio Zanaga I";" Americana/SP";"13474-652";-22.7009;-47.293495
" Rua Futuro";" Jardim Boer I";" Americana/SP";"13477-692";-22.740527;-47.293555
" Rua Maria dos Santos Rodrigues";" Jardim Santa Eliza";" Americana/SP";"13474-055";-22.719897;-47.293564
" Rua Eduardo Panaro";" Vila Bela";" Americana/SP";"13474-721";-22.697876;-47.293594
" Rua João Pincelli";" Jardim Brasil";" Americana/SP";"13474-181";-22.713252;-47.293677
" Rua Raul de Leoni";" Antônio Zanaga II";" Americana/SP";"13474-403";-22.705053;-47.293742
" Rua Américo Fontana";" Jardim Brasil";" Americana/SP";"13474-072";-22.717049;-47.293742
" Rua Triunfo";" Jardim Boer I";" Americana/SP";"13477-714";-22.740911;-47.293768
" Rua Um";" São Benedito";" Americana/SP";"13476-670";-22.760757;-47.29384
" Rua Men de Sá";" Antônio Zanaga II";" Americana/SP";"13474-400";-22.706252;-47.293874
" Rua Alcides Lázaro";" Parque Primavera";" Americana/SP";"13474-012";-22.724934;-47.294043
" Rua Francisca Canciani";" Jardim Santa Eliza";" Americana/SP";"13474-056";-22.719687;-47.29414
" Rua Auta de Souza";" Antônio Zanaga II";" Americana/SP";"13474-404";-22.705192;-47.294203
" Rua Oscar Emirandetti";" Industrial Sigisfredo Boer";" Americana/SP";"13478-823";-22.750642;-47.294288
" Rua Mario Cavicchiolli";" Vila Bela";" Americana/SP";"13474-722";-22.698056;-47.294353
" Rua Luiz Henrique de Oliveira";" Jardim Santa Eliza";" Americana/SP";"13474-050";-22.719448;-47.294353
" Rua Benedito Colla";" Residencial Praia dos Namorados";" Americana/SP";"13474-223";-22.713852;-47.294353
" Rua Cyro Costa";" Antônio Zanaga I";" Americana/SP";"13474-670";-22.699022;-47.294379
" Rua Paulo Camargo Neves";" Jardim Brasil";" Americana/SP";"13474-073";-22.716995;-47.294415
" Rua Noel Rosa";" Antônio Zanaga II";" Americana/SP";"13474-405";-22.704203;-47.294422
" Rua João Francisco Montebello";" Vila Bela";" Americana/SP";"13474-723";-22.697593;-47.294513
" Rua Realização";" Jardim Boer I";" Americana/SP";"13477-696";-22.740959;-47.294536
" Rua Evaristo Batistuzzi";" Jardim Brasil";" Americana/SP";"13474-130";-22.715049;-47.294893
" Rua Cipriano Juca";" Antônio Zanaga I";" Americana/SP";"13474-635";-22.703856;-47.294899
" Rua Júlio Salusse";" Antônio Zanaga I";" Americana/SP";"13474-634";-22.704057;-47.294899
" Rua Olga Garcia Rosa";" Vila Bela";" Americana/SP";"13474-724";-22.697426;-47.294937
" Rua Joaquim Ribaldo";" Jardim Brasil";" Americana/SP";"13474-090";-22.71638;-47.294987
" Rua Bittencourt Sampaio";" Antônio Zanaga I";" Americana/SP";"13474-636";-22.702613;-47.29508
" Rua Antônio Zacarias";" Jardim Brasil";" Americana/SP";"13474-200";-22.711914;-47.295138
" Rua Thomaz Panaro";" Jardim Brasil";" Americana/SP";"13474-080";-22.715219;-47.295161
" Rua Sabedoria";" Jardim Boer I";" Americana/SP";"13477-700";-22.742488;-47.29548
" Rua Carlos Belotti";" Industrial Sigisfredo Boer";" Americana/SP";"13478-804";-22.751644;-47.29551
" Rua Victório Paschoal Linarello";" Jardim Brasil";" Americana/SP";"13474-112";-22.713255;-47.29551
" Rua Álvaro Lins";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-467";-22.704258;-47.29551
" Rua Anita Garibaldi";" Antônio Zanaga I";" Americana/SP";"13474-640";-22.702057;-47.295575
" Avenida Domingos Pilotto";" Vila Bela";" Americana/SP";"13474-705";-22.697429;-47.295692
" Avenida Antônio Centurione Boer";" Jardim Santa Eliza";" Americana/SP";"13474-040";-22.714539;-47.295706
" Rua Costa e Silva";" Antônio Zanaga II";" Americana/SP";"13474-425";-22.700054;-47.295707
" Rua Osman Lins";" Antônio Zanaga I";" Americana/SP";"13474-660";-22.699186;-47.295752
" Rua Djanira";" Antônio Zanaga I";" Americana/SP";"13474-631";-22.701999;-47.295872
" Rua Agnelo Manzi";" Jardim Brasil";" Americana/SP";"13474-120";-22.712813;-47.295888
" Rua João Gelmine";" Jardim Brasil";" Americana/SP";"13474-190";-22.712593;-47.295899
" Rua Benedito Calixto";" Antônio Zanaga I";" Americana/SP";"13474-650";-22.70114;-47.295959
" Rua Albertino Machado";" Residencial Vale das Nogueiras";" Americana/SP";"13474-358";-22.706065;-47.295985
" Rua Francisco Valdomiro Lorenz";" Antônio Zanaga I";" Americana/SP";"13474-632";-22.70242;-47.296094
" Rua Ari Barroso";" Antônio Zanaga I";" Americana/SP";"13474-620";-22.700203;-47.296112
" Rua Januário Ferraro";" Jardim Brasil";" Americana/SP";"13474-180";-22.713725;-47.296131
" Rua Martins Pena";" Antônio Zanaga I";" Americana/SP";"13474-667";-22.698067;-47.296249
" Rua Salim Elias";" Jardim Brasil";" Americana/SP";"13474-100";-22.715792;-47.296252
" Rua Clemente Salvador";" Industrial Sigisfredo Boer";" Americana/SP";"13478-824";-22.751855;-47.29633
" Rua Hemenegildo Romagnollo";" Jardim Brasil";" Americana/SP";"13474-070";-22.717529;-47.296334
" Rua José Frigeri";" Jardim Brasil";" Americana/SP";"13474-160";-22.71153;-47.296457
" Rua Luiz Otávio";" Antônio Zanaga I";" Americana/SP";"13474-630";-22.702009;-47.296518
" Rua Celeste Cardelli";" Jardim Brasil";" Americana/SP";"13474-060";-22.718526;-47.296534
" Rua Olívio Sacilotto";" Jardim Brasil";" Americana/SP";"13474-111";-22.714458;-47.296544
" Avenida Affonso Pansan";" Vila Bertini";" Americana/SP";"13473-620";-22.723173;-47.296556
" Avenida Unitika";" Jardim Helena";" Americana/SP";"13477-260";-22.735028;-47.296566
" Rua Belmiro Braga";" Antônio Zanaga I";" Americana/SP";"13474-661";-22.700042;-47.29662
" Rua Armando Calligaris";" Vila Bertini";" Americana/SP";"13473-490";-22.722054;-47.296732
" Praça José Aranha Neto";" Jardim Helena";" Americana/SP";"13477-279";-22.731052;-47.296732
" Rua Virgínio Meneghel";" Vila Bertini";" Americana/SP";"13473-480";-22.723354;-47.296736
" Rua Tobias Barreto";" Antônio Zanaga I";" Americana/SP";"13474-663";-22.699229;-47.296765
" Rua Ricardo Gonçalves";" Antônio Zanaga I";" Americana/SP";"13474-662";-22.699459;-47.296797
" Praça Vinícius de Moraes";" Antônio Zanaga I";" Americana/SP";"13474-599";-22.702859;-47.296809
" Rua José Gregório de Macedo";" Antônio Zanaga I";" Americana/SP";"13474-666";-22.698274;-47.29682
" Rua Lins de Vasconcelos";" Antônio Zanaga I";" Americana/SP";"13474-633";-22.703393;-47.296821
" Rua José Miguel Augustti";" Jardim Brasil";" Americana/SP";"13474-150";-22.711003;-47.296887
" Rua Professor Oscar Augusto Guelli";" Residencial Vale das Nogueiras";" Americana/SP";"13474-356";-22.710246;-47.296893
" Rua das Cerejeiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-354";-22.70877;-47.297245
" Rua Célia Delle Donne Luchiari";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-282";-22.722858;-47.297324
" Avenida José Meneghel";" Industrial Maria Joana Crivelloni Abrão";" Americana/SP";"13478-820";-22.752829;-47.297342
" Rua Carmen Cinira";" Antônio Zanaga";" Americana/SP";"13474-504";-22.702461;-47.297343
" Rua Clemente Salvador";" Jardim Paz";" Americana/SP";"13470-600";-22.752047;-47.297408
" Rua Doutora Maria Aparecida Rocha";" Residencial Vale das Nogueiras";" Americana/SP";"13474-360";-22.706042;-47.297434
" Rua Ernesto Nazareth";" Antônio Zanaga I";" Americana/SP";"13474-611";-22.701255;-47.297499
" Rua Djalma Rogério Cerioni";" São Luiz";" Americana/SP";"13477-580";-22.739477;-47.29756
" Rua Antônio Fornaziero";" Jardim Helena";" Americana/SP";"13477-273";-22.729904;-47.297611
" Praça Dirceu Cunha";" Residencial Vale das Nogueiras";" Americana/SP";"13474-379";-22.70842;-47.297623
" Avenida Oswaldo Bueno Quirino";" São Luiz";" Americana/SP";"13477-655";-22.744789;-47.29765
" Rua Anísio Teixeira";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-461";-22.705243;-47.29768
" Praça Farmacêutico Hermes Fanelli";" Antônio Zanaga I";" Americana/SP";"13474-629";-22.701242;-47.2977
" Rua Bastos Tigre";" Antônio Zanaga I";" Americana/SP";"13474-612";-22.701675;-47.297719
" Rua dos Mamoeiros";" Residencial Vale das Nogueiras";" Americana/SP";"13474-357";-22.708938;-47.297763
" Rua das Pitangueiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-353";-22.709096;-47.297823
" Rua Ferrúcio Bertaglia";" Jardim Helena";" Americana/SP";"13477-250";-22.731243;-47.297844
" Rua Hugo Luchiari";" Loteamento Residencial Jardim Villagio";" Americana/SP";"13475-284";-22.722197;-47.297905
" Rua Inglês de Souza";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-466";-22.70412;-47.297926
" Avenida Affonso Arinos";" Antônio Zanaga";" Americana/SP";"13474-580";-22.702197;-47.297957
" Avenida Nina Rodrigues";" Residencial Vale das Nogueiras";" Americana/SP";"13474-359";-22.708858;-47.298019
" Rua Jackson de Figueiredo";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-463";-22.704933;-47.298031
" Rua Mauro Schiavoni";" Jardim Helena";" Americana/SP";"13477-272";-22.730028;-47.298088
" Rua Gustavo Teixeira";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-462";-22.704769;-47.298104
" Avenida Nina Rodrigues";" Antônio Zanaga II";" Americana/SP";"13474-453";-22.708142;-47.298167
" Rua Joaquim Murtinho";" Antônio Zanaga I";" Americana/SP";"13474-610";-22.701161;-47.29827
" Rua Antônio Sobral";" Jardim Brasil";" Americana/SP";"13474-170";-22.712705;-47.298278
" Rua Anita Malfati";" Antônio Zanaga I";" Americana/SP";"13474-664";-22.699088;-47.298435
" Rua Pedro Perissinoto";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-300";-22.732846;-47.298453
" Rua Waldomiro Aranha Neto";" Jardim Helena";" Americana/SP";"13477-270";-22.730181;-47.298504
" Avenida Nina Rodrigues";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-468";-22.70626;-47.298565
" Rua João Jacintho de Freitas";" Jardim Helena";" Americana/SP";"13477-271";-22.730653;-47.29863
" Rua Manoel de Mattos";" Jardim Luciane";" Americana/SP";"13477-229";-22.731853;-47.29863
" Rua Leonardo Mota";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-465";-22.704605;-47.298725
" Rua Santa Joana DArc";" Jardim São Vito";" Americana/SP";"13473-195";-22.727813;-47.298825
" Rua Amadeu Amaral";" Antônio Zanaga";" Americana/SP";"13474-505";-22.702247;-47.298894
" Rua Dalcídio Jurandir";" Antônio Zanaga";" Americana/SP";"13474-503";-22.702725;-47.298962
" Rua Durval de Morais";" Antônio Zanaga I";" Americana/SP";"13474-665";-22.698946;-47.298962
" Rua Eduardo Michel";" São Luiz";" Americana/SP";"13477-660";-22.744703;-47.298967
" Rua Francisco Alves";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-464";-22.70485;-47.299127
" Rua Joaquim Florindo de Camargo";" Jardim Luciane";" Americana/SP";"13477-227";-22.733056;-47.299176
" Rua Pedro Müller";" Loteamento Industrial Nossa Senhora de Fátima";" Americana/SP";"13478-803";-22.749852;-47.299176
" Rua Alexandre Rondelli";" Vila Bertini";" Americana/SP";"13473-450";-22.724058;-47.299176
" Rua Clarice Lispector";" Antônio Zanaga I";" Americana/SP";"13474-601";-22.700496;-47.299176
" Avenida Letícia Cia Boer";" Vila Bertini";" Americana/SP";"13473-470";-22.723056;-47.299241
" Rua Victorio Pertile";" Vila Bertini";" Americana/SP";"13473-493";-22.718257;-47.299241
" Rua Voltolino";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-460";-22.705522;-47.299362
" Rua Anália Franco";" Antônio Zanaga I";" Americana/SP";"13474-602";-22.700907;-47.299391
" Rua Orestes Barbosa";" Antônio Zanaga";" Americana/SP";"13474-501";-22.702936;-47.299404
" Rua Padre Cícero";" Antônio Zanaga";" Americana/SP";"13474-523";-22.702479;-47.299415
" Avenida Unitika";" Jardim Boer I";" Americana/SP";"13477-690";-22.734583;-47.29944
" Rua José Donha";" Jardim Luciane";" Americana/SP";"13477-228";-22.733005;-47.299449
" Rua Benedito Aparecido Bertossi";" Jardim Brasil";" Americana/SP";"13474-110";-22.714513;-47.299499
" Rua Pedro Furlan";" Vila Bertini";" Americana/SP";"13473-540";-22.723891;-47.299504
" Rua Antonio Conselheiro";" Antônio Zanaga II";" Americana/SP";"13474-440";-22.704947;-47.299521
" Rua André Stokovic";" Vila Bertini";" Americana/SP";"13473-461";-22.725337;-47.299562
" Avenida Cândido Portinari";" Antônio Zanaga I";" Americana/SP";"13474-590";-22.703459;-47.299618
" Rua Aníbal Machado";" Antônio Zanaga";" Americana/SP";"13474-500";-22.703556;-47.299645
" Rua Leandro Gomes de Barros";" Antônio Zanaga";" Americana/SP";"13474-502";-22.702561;-47.299659
" Rua Osvaldo Milani";" Vila Bertini";" Americana/SP";"13473-530";-22.723329;-47.299731
" Rua Antônio Meneghel";" São Luiz";" Americana/SP";"13477-650";-22.743858;-47.299735
" Rua Cornélio Pena";" Antônio Zanaga I";" Americana/SP";"13474-600";-22.700483;-47.299742
" Rua José Auto de Godoy";" Jardim Luciane";" Americana/SP";"13477-226";-22.733127;-47.299744
" Rua das Laranjeiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-352";-22.709181;-47.299771
" Rua Américo Falcão";" Antônio Zanaga II";" Americana/SP";"13474-441";-22.707862;-47.299787
" Rua Cid Franco";" Antônio Zanaga";" Americana/SP";"13474-522";-22.701063;-47.299852
" Rua Basílio Piloto";" Santa Sofia";" Americana/SP";"13477-240";-22.731655;-47.299852
" Rua Oswaldo Scomparim";" Vila Bertini";" Americana/SP";"13473-460";-22.725056;-47.299852
" Rua José Campana";" Vila Bertini";" Americana/SP";"13473-550";-22.722773;-47.299853
" Rua Francisco Campos Filho";" São Luiz";" Americana/SP";"13477-620";-22.741814;-47.299986
" Rua Cruz e Souza";" Antônio Zanaga";" Americana/SP";"13474-520";-22.701233;-47.300069
" Rua Ermínio Pegorari";" Vila Bertini";" Americana/SP";"13473-560";-22.722231;-47.300078
" Rua das Pereiras";" Residencial Vale das Nogueiras";" Americana/SP";"13474-351";-22.709395;-47.300289
" Rua Antônio Escoriza";" Vila Bertini";" Americana/SP";"13473-580";-22.721093;-47.300367
" Rua Luiz Giubbina";" Loteamento Industrial Nossa Senhora de Fátima";" Americana/SP";"13478-801";-22.751454;-47.300398
" Rua João Pádula";" Vila Bertini";" Americana/SP";"13473-610";-22.719661;-47.300398
" Rua Maria Cavalcante Proença";" Antônio Zanaga";" Americana/SP";"13474-530";-22.703062;-47.300452
" Rua Emiliano Perneta";" Antônio Zanaga II";" Americana/SP";"13474-452";-22.706062;-47.300464
" Rua Basílio Dias";" Vila Bertini";" Americana/SP";"13473-570";-22.721742;-47.300552
" Rua José Pitolli";" Loteamento Industrial Nossa Senhora de Fátima";" Americana/SP";"13478-810";-22.75249;-47.300568
" Rua Joracy Camargo";" Antônio Zanaga";" Americana/SP";"13474-497";-22.703851;-47.300588
" Rua João Crivelani";" Vila Bertini";" Americana/SP";"13473-590";-22.720582;-47.300608
" Rua Clóvis Brunelli";" Antônio Zanaga";" Americana/SP";"13474-521";-22.701579;-47.300638
" Rua Caetano de Campos";" Antônio Zanaga II";" Americana/SP";"13474-451";-22.706333;-47.300855
" Rua Antônio Luchesi";" São Luiz";" Americana/SP";"13477-610";-22.739895;-47.300934
" Rua Judas Isgorogota";" Antônio Zanaga II";" Americana/SP";"13474-442";-22.707726;-47.300984
" Avenida Cecília Meirelles";" Jardim Nossa Senhora Aparecida";" Americana/SP";"13474-470";-22.704856;-47.301019
" Rua Cassiano Ricardo";" Antônio Zanaga";" Americana/SP";"13474-545";-22.700264;-47.301075
" Rua Luiz Cia";" São Luiz";" Americana/SP";"13477-640";-22.743454;-47.301075
" Rua Dalmo Florence";" Antônio Zanaga II";" Americana/SP";"13474-443";-22.707232;-47.301081
" Rua Gelindo Nardo";" Santa Sofia";" Americana/SP";"13477-235";-22.730451;-47.301132
" Rua Gondim da Fonseca";" Antônio Zanaga II";" Americana/SP";"13474-450";-22.706743;-47.301189
" Rua Agenor Faion";" Vila Bertini";" Americana/SP";"13473-510";-22.722964;-47.301205
" Avenida Nove de Julho";" Jardim Santa Mônica";" Americana/SP";"13471-274";-22.795729;-47.301253
" Rua Egisto Milani";" Vila Bertini";" Americana/SP";"13473-600";-22.719819;-47.301346
" Avenida Comendador Thomaz Fortunato";" Iate Clube de Americana";" Americana/SP";"13475-152";-22.718575;-47.301399
" Rua Cacilda Becker";" Antônio Zanaga";" Americana/SP";"13474-496";-22.703448;-47.301401
" Rua Conde José";" Antônio Zanaga";" Americana/SP";"13474-533";-22.70347;-47.301414
" Rua Herculano Pires";" Antônio Zanaga";" Americana/SP";"13474-526";-22.70237;-47.301433
" Avenida Eduardo Rubbo";" Jardim Santa Eliza";" Americana/SP";"13474-048";-22.713802;-47.301528
" Rua Santa Claudia";" Vila Belvedere";" Americana/SP";"13473-020";-22.728132;-47.30159
" Rua Jerônimo Monteiro";" Antônio Zanaga";" Americana/SP";"13474-524";-22.70132;-47.301593
" Rua Antônio Altarujo";" São Luiz";" Americana/SP";"13477-600";-22.739258;-47.30162
" Rua Lupe Cotrin Garaude";" Antônio Zanaga";" Americana/SP";"13474-495";-22.704073;-47.301633
" Rua Cecim Abrão Elias";" Santa Sofia";" Americana/SP";"13477-234";-22.730458;-47.301686
" Rua Humberto Melo Nóbrega";" Antônio Zanaga";" Americana/SP";"13474-525";-22.701724;-47.301794
" Avenida Nicolau João Abdalla";" Antônio Zanaga";" Americana/SP";"13474-570";-22.698642;-47.301814
" Rua Solano Trindade";" Antônio Zanaga II";" Americana/SP";"13474-446";-22.706723;-47.301931
" Rua Marco Campari";" São Luiz";" Americana/SP";"13477-630";-22.743555;-47.301978
" Rua Gildo Cia";" Loteamento Industrial Nossa Senhora de Fátima";" Americana/SP";"13478-802";-22.750594;-47.302029
" Avenida Comendador Thomaz Fortunato";" Barroca";" Americana/SP";"13475-082";-22.730154;-47.302159
" Rua Celinda Antônia Quaino Santa Rosa";" Jardim Luciane";" Americana/SP";"13477-225";-22.733669;-47.302219
" Rua João Santarosa";" Jardim Boer I";" Americana/SP";"13477-702";-22.738953;-47.30222
" Rua Ribeiro Couto";" Antônio Zanaga";" Americana/SP";"13474-492";-22.705066;-47.302231
" Rua Santa Inêz";" Vila Belvedere";" Americana/SP";"13473-060";-22.728807;-47.302253
" Rua Santa Amélia";" Vila Belvedere";" Americana/SP";"13473-030";-22.72826;-47.302297
" Rua João Truzzi";" Jardim Progresso";" Americana/SP";"13477-220";-22.732657;-47.302297
" Rua Lúcio Cardoso";" Antônio Zanaga II";" Americana/SP";"13474-445";-22.70627;-47.302316
" Rua Sousa Andrade";" Antônio Zanaga";" Americana/SP";"13474-490";-22.705359;-47.302327
" Praça Luiz Augusto Filippi Cecchino";" Recanto Vista Alegre";" Americana/SP";"13474-289";-22.725475;-47.302341
" Avenida Carmela Fae Ardito";" Vila Bertini";" Americana/SP";"13473-500";-22.722449;-47.302343
" Rua Cásper Líbero";" Antônio Zanaga II";" Americana/SP";"13474-444";-22.707053;-47.302363
" Rua C";" São Luiz";" Americana/SP";"13477-582";-22.741501;-47.302417
" Rua Santa Luzia";" Vila Belvedere";" Americana/SP";"13473-050";-22.728463;-47.302435
" Rua Cornélio Pires";" Antônio Zanaga";" Americana/SP";"13474-494";-22.704988;-47.302444
" Rua Álvaro Cechino";" Santa Sofia";" Americana/SP";"13477-233";-22.730931;-47.302492
" Rua Eduardo Medon";" Santa Sofia";" Americana/SP";"13477-230";-22.731552;-47.302747
" Rua João Scarazato";" Santa Cruz";" Americana/SP";"13477-400";-22.738461;-47.302843
" Rua Caldas Júnior";" Antônio Zanaga";" Americana/SP";"13474-532";-22.701811;-47.302918
" Rua Joaquim Verdegay";" Vila Bertini";" Americana/SP";"13473-443";-22.724356;-47.302949
" Avenida Afonso Schimidt";" Antônio Zanaga";" Americana/SP";"13474-510";-22.701165;-47.303008
